R|0abbr|RSC|RSC-1|NNXX@|NNNXX-----@----|N|B|t|(referree_stopped_contest)
R|0|nejedněmi|nejeden|CD1XP7|ChXP7----------|C|0|0|0
R|0|nejedněm|nejeden|CD1XP3|ChXP3----------|C|0|0|0
R|0|nejedním|nejeden|CIFZS7|CwZS7----------|C|0|0|0
R|ccm|jedenáctkrát|jedenáctkrát`11|0|0|C|0|0|(*7`11)
R|ccz|jedenadvacet|jedenadvacet`21|0|0|C|0|0|0
R|ccz|jedenaosmdesát|jedenaosmdesát`81|0|0|C|0|0|0
R|ccz|jedenapadesát|jedenapadesát`51|0|0|C|0|0|0
R|ccz|jedenatřicet|jedenatřicet`31|0|0|C|0|0|0
R|ccz|jedenašedesát|jedenašedesát`61|0|0|C|0|0|0
R|ccz|jedenačtyřicet|jedenačtyřicet`41|0|0|C|0|0|0
R|ccz|jedenáct|jedenáct`11|0|0|C|0|0|0
R|ccz|jednatřicet|jedenatřicet`31|0|0|C|0|0|0
R|hd1|díl|díl|0|0|N|0|0|(jeden_díl_[z_celku])
R|ns1|šíř|šířka|0|0|N|0|0|(jeden_z_rozměrů)
R|ps5|šíř|šířka|0|0|N|0|0|(jeden_z_rozměrů)
R|s1|dojeden|dojíst|0|0|V|0|0|0
R|s1|jeden|jíst|0|0|V|0|0|(konzumovat_jídlo)
R|s1|najeden|najíst|0|0|V|0|0|0
R|s1|pojeden|pojíst|0|0|V|0|0|0
R|s1|přejeden|přejíst|0|0|V|0|0|0
R|yccr|jedenadvacát|jedenadvacátý|0|0|C|0|0|0
R|yccr|jedenáct|jedenáctý|0|0|C|0|0|0
R|yxx|jedenáctičlenn|jedenáctičlenný|0|0|A|0|0|0
R|y|jedenadvacetilet|jedenadvacetiletý|0|0|A|0|0|0
R|y|jedenapadesátilet|jedenapadesátiletý|0|0|A|0|0|0
R|y|jedenatřicetilet|jedenatřicetiletý|0|0|A|0|0|0
R|y|jedenašedesátilet|jedenašedesátiletý|0|0|A|0|0|0
R|y|jedenačtyřicetilet|jedenačtyřicetiletý|0|0|A|0|0|0
R|y|jedenáctilet|jedenáctiletý|0|0|A|0|0|0
R|zn6e|jedenadvacít|jedenadvacítka`21|0|0|N|0|0|0
R|zn6e|jedenáct|jedenáctka|0|0|N|0|0|0
R|zn6e|šíř|šířka|0|0|N|0|0|(jeden_z_rozměrů)
R|0|devětadvacíti|devětadvacet`29|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|devětadvacíti|devětadvacet`29|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|devětadvacíti|devětadvacet`29|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|devětadvacíti|devětadvacet`29|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|dvaadvacíti|dvaadvacet`22|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|dvaadvacíti|dvaadvacet`22|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|dvaadvacíti|dvaadvacet`22|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|dvaadvacíti|dvaadvacet`22|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|dvaapůlkrát|dvaapůlkrát|DB|Db-------------|D|0|0|0
R|0|dvaatřicíti|dvaatřicet`32|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|dvaatřicíti|dvaatřicet`32|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|dvaatřicíti|dvaatřicet`32|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|dvaatřicíti|dvaatřicet`32|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|dvaačtyřicíti|dvaačtyřicet`42|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|dvaačtyřicíti|dvaačtyřicet`42|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|dvaačtyřicíti|dvaačtyřicet`42|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|dvaačtyřicíti|dvaačtyřicet`42|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|dvacetkrát|dvacetkrát`20|CM|Cv-------------|C|0|0|0
R|0|dvacíti|dvacet`20|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|dvacíti|dvacet`20|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|dvacíti|dvacet`20|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|dvacíti|dvacet`20|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|dvakráte|dvakrát`2|CM-1|Cv------------1|C|0|0|0
R|0|dvakrát|dvakrát`2|CM|Cv-------------|C|0|0|0
R|0|dva|dva`2|CGYP1|ClYP1----------|C|0|0|0
R|0|dva|dva`2|CGYP4|ClYP4----------|C|0|0|0
R|0|dva|dva`2|CGYP5|ClYP5----------|C|0|0|0
R|0|dvou|dva`2|CGXP2|ClXP2----------|C|0|0|0
R|0|dvou|dva`2|CGXP6|ClXP6----------|C|0|0|0
R|0|dvěma|dva`2|CGFD7|ClFD7----------|C|0|0|0
R|0|dvěma|dva`2|CGXP3|ClXP3----------|C|0|0|0
R|0|dvěma|dva`2|CGXP7|ClXP7----------|C|0|0|0
R|0|dvěmi|dva`2|CGFD7-9|ClFD7---------9|C|0|x|0
R|0|dvěmi|dva`2|CGXP3-9|ClXP3---------9|C|0|x|0
R|0|dvěmi|dva`2|CGXP7-9|ClXP7---------9|C|0|x|0
R|0|dvě|dva`2|CGHP1|ClHP1----------|C|0|0|0
R|0|dvě|dva`2|CGHP4|ClHP4----------|C|0|0|0
R|0|dvě|dva`2|CGHP5|ClHP5----------|C|0|0|0
R|0|nadvakrát|nadvakrát|DB|Db-------------|D|0|0|0
R|0|osmadvacíti|osmadvacet`28|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|osmadvacíti|osmadvacet`28|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|osmadvacíti|osmadvacet`28|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|osmadvacíti|osmadvacet`28|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|pětadvacíti|pětadvacet`25|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|pětadvacíti|pětadvacet`25|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|pětadvacíti|pětadvacet`25|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|pětadvacíti|pětadvacet`25|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|sedmadvacíti|sedmadvacet`27|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|sedmadvacíti|sedmadvacet`27|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|sedmadvacíti|sedmadvacet`27|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|sedmadvacíti|sedmadvacet`27|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|třiadvacíti|třiadvacet`23|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|třiadvacíti|třiadvacet`23|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|třiadvacíti|třiadvacet`23|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|třiadvacíti|třiadvacet`23|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|šestadvacíti|šestadvacet`26|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|šestadvacíti|šestadvacet`26|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|šestadvacíti|šestadvacet`26|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|šestadvacíti|šestadvacet`26|CBP7-1|Cn-P7---------1|C|0|0|0
R|atd|poobědv|poobědvat|0|0|W|0|0|0
R|atn|obědv|obědvat|0|0|T|0|0|0
R|ccm|dvanáctkrát|dvanáctkrát`12|0|0|C|0|0|(*7`12)
R|ccz|devětadvacet|devětadvacet`29|0|0|C|0|0|0
R|ccz|dvaadevadesát|dvaadevadesát`92|0|0|C|0|0|0
R|ccz|dvaadvacet|dvaadvacet`22|0|0|C|0|0|0
R|ccz|dvaaosmdesát|dvaaosmdesát`82|0|0|C|0|0|0
R|ccz|dvaapadesát|dvaapadesát`52|0|0|C|0|0|0
R|ccz|dvaasedmdesát|dvaasedmdesát`72|0|0|C|0|0|0
R|ccz|dvaatřicet|dvaatřicet`32|0|0|C|0|0|0
R|ccz|dvaašedesát|dvaašedesát`62|0|0|C|0|0|0
R|ccz|dvaačtyřicet|dvaačtyřicet`42|0|0|C|0|0|0
R|ccz|dvacet|dvacet`20|0|0|C|0|0|0
R|ccz|dvanáct|dvanáct`12|0|0|C|0|0|0
R|ccz|jedenadvacet|jedenadvacet`21|0|0|C|0|0|0
R|ccz|jednadvacet|jednadvacet`21|0|0|C|0|0|0
R|ccz|osmadvacet|osmadvacet`28|0|0|C|0|0|0
R|ccz|pětadvacet|pětadvacet`25|0|0|C|0|0|0
R|ccz|sedmadvacet|sedmadvacet`27|0|0|C|0|0|0
R|ccz|třiadvacet|třiadvacet`23|0|0|C|0|0|0
R|ccz|šestadvacet|šestadvacet`26|0|0|C|0|0|0
R|ccz|čtyřiadvacet|čtyřiadvacet`24|0|0|C|0|0|0
R|hd1|Budvar|Budvar|0|0|N|K|0|0
R|hd1|odvar|odvar|0|0|N|0|0|0
R|i1|odvaž|odvázat|0|0|V|0|0|0
R|i1|odvaž|odvážit-1|0|0|V|0|0|(na_váze)
R|i|dvacetiprocentn|dvacetiprocentní|0|0|A|0|0|0
R|i|dvanáctiprocentn|dvanáctiprocentní|0|0|A|0|0|0
R|mdm|dvacetikilometrov|dvacetikilometrový|0|0|N|0|0|0
R|md|odvav|odvát|0|0|W|0|0|0
R|ns07|Radvanic|Radvanice|0|0|N|G|0|0
R|ovatn|odvaž|odvažovat|0|0|T|0|0|0
R|pd1|Ludv|Ludva|0|0|N|Y|h|0
R|pn1|Edvard|Eduard|0|0|N|Y|0|0
R|st|dvacetiletí|dvacetiletí|0|0|N|0|0|0
